zone_key,year,Country,Zone Name,no_hours_with_data,carbon_intensity_avg
AUS-NSW,2017,Australia,New South Wales,5887,725.9916674
AUS-NSW,2018,Australia,New South Wales,8629,717.2494176
AUS-NSW,2019,Australia,New South Wales,8311,724.6863533
AUS-NSW,2020,Australia,New South Wales,2928,676.1
AUS-NSW,2021,Australia,New South Wales,6553,673.88
AUS-QLD,2017,Australia,Queensland,5887,766.6911518
AUS-QLD,2018,Australia,Queensland,8631,754.8681483
AUS-QLD,2019,Australia,Queensland,8309,748.5187482
AUS-QLD,2020,Australia,Queensland,2928,709.96
AUS-QLD,2021,Australia,Queensland,4879,707.96
AUS-SA,2017,Australia,South Australia,5853,336.4917457
AUS-SA,2018,Australia,South Australia,8634,307.6695495
AUS-SA,2019,Australia,South Australia,8307,301.807806
AUS-SA,2020,Australia,South Australia,2928,232.31
AUS-SA,2021,Australia,South Australia,6553,268.52
AUS-TAS,2017,Australia,Tasmania,5868,128.6363536
AUS-TAS,2018,Australia,Tasmania,8635,86.40150805
AUS-TAS,2019,Australia,Tasmania,8312,113.3050594
AUS-TAS,2020,Australia,Tasmania,1,259.86
AUS-TAS,2021,Australia,Tasmania,6553,89.03
AUS-VIC,2017,Australia,Victoria,5886,682.3460016
AUS-VIC,2018,Australia,Victoria,8636,674.8512768
AUS-VIC,2019,Australia,Victoria,8312,664.9763699
AUS-VIC,2020,Australia,Victoria,2928,600.51
AUS-VIC,2021,Australia,Victoria,6553,580.73
AUS-WA,2017,Australia,Western Australia,4611,611.2826759
AUS-WA,2018,Australia,Western Australia,8760,602.6911659
AUS-WA,2019,Australia,Western Australia,5342,574.6840559
AUS-WA,2020,Australia,Western Australia,2928,426.97
AUS-WA,2021,Australia,Western Australia,6553,480.3
BR-CS,2017,Brazil,Central Brazil,2236,143.7607549
BR-CS,2018,Brazil,Central Brazil,8308,106.1092523
BR-CS,2019,Brazil,Central Brazil,8683,109.0155514
BR-CS,2020,Brazil,Central Brazil,2928,132.19
BR-CS,2021,Brazil,Central Brazil,6553,166.03
BR-N,2017,Brazil,North Brazil,2318,309.329479
BR-N,2018,Brazil,North Brazil,8634,177.2270358
BR-N,2019,Brazil,North Brazil,8690,169.4075899
BR-N,2020,Brazil,North Brazil,2928,228.35
BR-N,2021,Brazil,North Brazil,6551,180.63
BR-NE,2017,Brazil,North-East Brazil,2247,240.0231199
BR-NE,2018,Brazil,North-East Brazil,8317,174.4660189
BR-NE,2019,Brazil,North-East Brazil,8690,145.5749495
BR-NE,2020,Brazil,North-East Brazil,2928,107.03
BR-NE,2021,Brazil,North-East Brazil,6551,146.01
BR-S,2017,Brazil,South Brazil,2318,122.9151017
BR-S,2018,Brazil,South Brazil,8634,106.345731
BR-S,2019,Brazil,South Brazil,8692,112.8332479
BR-S,2020,Brazil,South Brazil,2928,170.76
BR-S,2021,Brazil,South Brazil,6551,170.87
CA-AB,2017,Canada,Alberta,5948,600.6660355
CA-AB,2018,Canada,Alberta,8700,569.1211087
CA-AB,2019,Canada,Alberta,6727,572.174567
CA-AB,2020,Canada,Alberta,2928,531.53
CA-AB,2021,Canada,Alberta,6484,507.27
CA-NS,2017,Canada,Nova Scotia,1254,557.7545272
CA-NS,2018,Canada,Nova Scotia,6707,531.6378676
CA-NS,2019,Canada,Nova Scotia,4398,524.0309974
CA-NS,2020,Canada,Nova Scotia,1395,479.56
CA-NS,2021,Canada,Nova Scotia,92,81.02
CA-ON,2018,Canada,Ontario,6188,51.91897984
CA-ON,2019,Canada,Ontario,8754,52.89702006
CA-ON,2020,Canada,Ontario,2928,43.4
CA-ON,2021,Canada,Ontario,6553,54.84
CA-PE,2017,Canada,Prince Edward Island,5774,60.44316023
CA-PE,2018,Canada,Prince Edward Island,8754,177.8817756
CA-PE,2019,Canada,Prince Edward Island,8760,183.5949947
CA-PE,2020,Canada,Prince Edward Island,2928,124.91
CA-PE,2021,Canada,Prince Edward Island,6547,144.88
CA-YT,2017,Canada,Yukon,4398,40.98239758
CA-YT,2018,Canada,Yukon,7798,72.61218353
CA-YT,2019,Canada,Yukon,8311,122.6711284
CA-YT,2020,Canada,Yukon,2433,59.93
CA-YT,2021,Canada,Yukon,5443,51.11
